MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:97804	Ptn	pleiotrophin	6		regulation of stem cell population maintenance			IMP		J:177072 	
MGI:97847	Raf1	v-raf-leukemia viral oncogene 1	6		somatic stem cell population maintenance			IGI	MGI:88190 	J:196225 	
MGI:1194912	Rbbp4	retinoblastoma binding protein 4, chromatin remodeling factor	4		negative regulation of stem cell population maintenance			NAS		J:243422 	
MGI:1194912	Rbbp4	retinoblastoma binding protein 4, chromatin remodeling factor	4		positive regulation of stem cell population maintenance			NAS		J:243422 	
MGI:1194910	Rbbp7	retinoblastoma binding protein 7, chromatin remodeling factor	X		negative regulation of stem cell population maintenance			NAS		J:243422 	
MGI:1194910	Rbbp7	retinoblastoma binding protein 7, chromatin remodeling factor	X		positive regulation of stem cell population maintenance			NAS		J:243422 	
MGI:96522	Rbpj	recombination signal binding protein for immunoglobulin kappa J region	5		somatic stem cell population maintenance	happens in stomach		IMP	MGI:3583755 	J:176833 	
MGI:104897	Rest	RE1-silencing transcription factor	5		neuronal stem cell population maintenance			IMP		J:242726 	
MGI:104897	Rest	RE1-silencing transcription factor	5		positive regulation of stem cell population maintenance			ISO	Q13127 	J:164563 	
MGI:104897	Rest	RE1-silencing transcription factor	5		positive regulation of stem cell population maintenance			ISS	Q13127 	J:342587 	
MGI:104897	Rest	RE1-silencing transcription factor	5		somatic stem cell population maintenance			IMP		J:242726 	
MGI:1098622	Rif1	replication timing regulatory factor 1	2		somatic stem cell population maintenance			IMP		J:107560 	
MGI:1309480	Rtf1	RTF1, Paf1/RNA polymerase II complex component	2		stem cell population maintenance			IMP		J:149841 	
MGI:1309480	Rtf1	RTF1, Paf1/RNA polymerase II complex component	2		stem cell population maintenance			ISO	Q92541 	J:164563 	
MGI:1889585	Sall1	spalt like transcription factor 1	8		mesenchymal stem cell maintenance involved in metanephric nephron morphogenesis	happens in nephrogenic zone		IMP	MGI:3603818 	J:208419 	
MGI:2139360	Sall4	spalt like transcription factor 4	2		somatic stem cell population maintenance			IMP		J:164442 	
MGI:1929129	Sap30	sin3 associated polypeptide	8		negative regulation of stem cell population maintenance			NAS		J:243422 	
MGI:1929129	Sap30	sin3 associated polypeptide	8		positive regulation of stem cell population maintenance			NAS		J:243422 	
MGI:1354709	Sap30l	SAP30-like	11		negative regulation of stem cell population maintenance			NAS		J:243422 	
MGI:1354709	Sap30l	SAP30-like	11		positive regulation of stem cell population maintenance			NAS		J:243422 	
MGI:1919782	Sap130	Sin3A associated protein	18		negative regulation of stem cell population maintenance			NAS		J:243422 	
MGI:1919782	Sap130	Sin3A associated protein	18		positive regulation of stem cell population maintenance			NAS		J:243422 	
MGI:1927144	Sav1	salvador family WW domain containing 1	12		regulation of stem cell population maintenance	happens in skin		IMP	MGI:3790763 	J:134270 	
MGI:99466	Sct	secretin	7		neuronal stem cell population maintenance			IMP	MGI:3815315 	J:169029 	
MGI:2446244	Setd1a	SET domain containing 1A	7		stem cell population maintenance			IMP	MGI:5568941 	J:208420 	
MGI:1913333	Setd6	SET domain containing 6	8		stem cell population maintenance			IDA		J:224806 	
MGI:892014	Sfrp1	secreted frizzled-related protein 1	8		somatic stem cell population maintenance			IMP	MGI:3621116 	J:152080 	
MGI:107157	Sin3a	transcriptional regulator, SIN3A (yeast)	9		negative regulation of stem cell population maintenance			NAS		J:243422 	
MGI:107157	Sin3a	transcriptional regulator, SIN3A (yeast)	9		positive regulation of stem cell population maintenance			NAS		J:243422 	
MGI:1929091	Sinhcaf	SIN3-HDAC complex associated factor	6		negative regulation of stem cell population maintenance			NAS		J:243422 	
MGI:1929091	Sinhcaf	SIN3-HDAC complex associated factor	6		positive regulation of stem cell population maintenance			NAS		J:243422 	
MGI:1354161	Sirt6	sirtuin 6	10		positive regulation of stem cell population maintenance			IEA	ENSP00000337332 Q8N6T7 	J:342605 	
MGI:1354161	Sirt6	sirtuin 6	10		positive regulation of stem cell population maintenance			ISO	Q8N6T7 	J:164563 	
MGI:102778	Six2	sine oculis-related homeobox 2	17		mesenchymal stem cell maintenance involved in nephron morphogenesis			IDA		J:188777 	
MGI:102778	Six2	sine oculis-related homeobox 2	17		mesenchymal stem cell maintenance involved in nephron morphogenesis			IDA		J:208647 	
MGI:102778	Six2	sine oculis-related homeobox 2	17		mesenchymal stem cell maintenance involved in nephron morphogenesis			IMP		J:148455 	
MGI:102778	Six2	sine oculis-related homeobox 2	17		mesenchymal stem cell maintenance involved in nephron morphogenesis			IMP		J:171512 	
MGI:98310	Ski	ski sarcoma viral oncogene homolog (avian)	4		somatic stem cell population maintenance			IDA		J:150463 	
MGI:99603	Smarca2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	19		positive regulation of stem cell population maintenance			NAS		J:268334 	
MGI:88192	Smarca4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	9		positive regulation of stem cell population maintenance			NAS		J:147141 	
MGI:88192	Smarca4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	9		positive regulation of stem cell population maintenance			NAS		J:268334 	
MGI:88192	Smarca4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	9		stem cell population maintenance			IMP		J:160495 	
MGI:1328366	Smarcb1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	10		positive regulation of stem cell population maintenance			NAS		J:147141 	
MGI:1203524	Smarcc1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1	9		positive regulation of stem cell population maintenance			NAS		J:147141 	
MGI:1203524	Smarcc1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1	9		positive regulation of stem cell population maintenance			NAS		J:268334 	
MGI:1933623	Smarcd1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1	15		positive regulation of stem cell population maintenance			NAS		J:147141 	
MGI:1933623	Smarcd1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1	15		positive regulation of stem cell population maintenance			NAS		J:268334 	
MGI:1927347	Smarce1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1	11		positive regulation of stem cell population maintenance			NAS		J:147141 	
MGI:1344345	Smc1a	structural maintenance of chromosomes 1A	X		somatic stem cell population maintenance			IMP		J:164442 	
MGI:1339795	Smc3	structural maintenance of chromosomes 3	19		stem cell population maintenance			IMP		J:164442 	
MGI:2385088	Smc5	structural maintenance of chromosomes 5	19		stem cell population maintenance	happens in embryonic stem cell		IMP	MGI:5882566 	J:240155 	
MGI:108075	Smo	smoothened, frizzled class receptor	6		regulation of somatic stem cell population maintenance	happens in hair follicle,regulates somatic stem cell population maintenance		IMP	MGI:1934268 MGI:2445832 	J:117334 	
MGI:98364	Sox2	SRY (sex determining region Y)-box 2	3		neuronal stem cell population maintenance			IGI		J:180508 	
MGI:98364	Sox2	SRY (sex determining region Y)-box 2	3		somatic stem cell population maintenance		PR:Q60I23	IEA	ENSP00000323588 P48431 	J:342605 	
MGI:98364	Sox2	SRY (sex determining region Y)-box 2	3		somatic stem cell population maintenance			IMP		J:111554 	
MGI:98364	Sox2	SRY (sex determining region Y)-box 2	3		somatic stem cell population maintenance			IMP		J:164442 	
MGI:98364	Sox2	SRY (sex determining region Y)-box 2	3		somatic stem cell population maintenance			ISO	P48431 	J:164563 	
MGI:98364	Sox2	SRY (sex determining region Y)-box 2	3		stem cell population maintenance			IMP		J:240259 	
MGI:98366	Sox4	SRY (sex determining region Y)-box 4	13		somatic stem cell population maintenance			IDA		J:150463 	
MGI:98371	Sox9	SRY (sex determining region Y)-box 9	11		somatic stem cell population maintenance	happens in central nervous system		IMP	MGI:2176173 MGI:2429649 	J:165253 	
MGI:98282	Spi1	Spi-1 proto-oncogene	2		somatic stem cell population maintenance			IDA		J:150463 	
MGI:1933527	Srrt	serrate RNA effector molecule homolog (Arabidopsis)	5		neuronal stem cell population maintenance			IMP		J:180508 	
MGI:107708	Ss18	SS18, subunit of BAF chromatin remodeling complex	18		neuronal stem cell population maintenance			IMP		J:199644 	
MGI:107708	Ss18	SS18, subunit of BAF chromatin remodeling complex	18		positive regulation of stem cell population maintenance			NAS		J:268334 	
MGI:1098583	Stag2	STAG2 cohesin complex component	X		stem cell population maintenance			IMP		J:164442 	
MGI:103038	Stat3	signal transducer and activator of transcription 3	11		somatic stem cell population maintenance			IMP		J:164442 	
MGI:1919204	Suds3	suppressor of defective silencing 3 homolog (S. cerevisiae)	5		negative regulation of stem cell population maintenance			NAS		J:243422 	
MGI:1919204	Suds3	suppressor of defective silencing 3 homolog (S. cerevisiae)	5		positive regulation of stem cell population maintenance			NAS		J:243422 	
MGI:1919039	Taf5l	TATA-box binding protein associated factor 5 like	8		regulation of somatic stem cell population maintenance			IDA		J:278440 	
MGI:2444957	Taf6l	TATA-box binding protein associated factor 6 like	19		regulation of somatic stem cell population maintenance			IDA		J:278440 	
MGI:98480	Tal1	T cell acute lymphocytic leukemia 1	4		regulation of somatic stem cell population maintenance	regulates somatic stem cell population maintenance		IMP	MGI:1858004 	J:156838 	
MGI:98493	Tbx1	T-box 1	16		somatic stem cell population maintenance			IMP		J:183832 	
MGI:98495	Tbx3	T-box 3	5		stem cell population maintenance	happens in liver		IMP	MGI:3769504 	J:134487 	
MGI:1202876	Tcf7l1	transcription factor 7 like 1 (T cell specific, HMG box)	6		regulation of somatic stem cell population maintenance	regulates somatic stem cell population maintenance		IMP		J:138113 	
MGI:1202876	Tcf7l1	transcription factor 7 like 1 (T cell specific, HMG box)	6		regulation of stem cell population maintenance	regulates stem cell population maintenance		IMP		J:132981 	
MGI:1202876	Tcf7l1	transcription factor 7 like 1 (T cell specific, HMG box)	6		somatic stem cell population maintenance	happens in skin		IGI	MGI:1202879 	J:155012 	
MGI:1202879	Tcf7l2	transcription factor 7 like 2, T cell specific, HMG box	19		somatic stem cell population maintenance	happens in skin		IGI	MGI:1202876 	J:155012 	
MGI:1202879	Tcf7l2	transcription factor 7 like 2, T cell specific, HMG box	19		somatic stem cell population maintenance	happens in small intestine crypt of lieberkuhn		IMP	MGI:1926344 	J:147579 	
MGI:1202879	Tcf7l2	transcription factor 7 like 2, T cell specific, HMG box	19		somatic stem cell population maintenance	happens in small intestine crypt of lieberkuhn		IMP	MGI:1926344 	J:48968 	
MGI:1202879	Tcf7l2	transcription factor 7 like 2, T cell specific, HMG box	19		somatic stem cell population maintenance	happens in crypt of lieberkuhn		IMP	MGI:1926344 	J:52818 	
MGI:104664	Tcf15	transcription factor 15	2		stem cell population maintenance			IDA		J:297822 	
MGI:1097166	Tcl1	T cell lymphoma breakpoint 1	12		regulation of stem cell population maintenance			IGI	MGI:2446210 	J:125698 	
MGI:1097166	Tcl1	T cell lymphoma breakpoint 1	12		somatic stem cell population maintenance			IMP		J:111554 	
MGI:101876	Tead1	TEA domain family member 1	7		positive regulation of stem cell population maintenance			IGI	MGI:106907 	J:160813 	
MGI:101876	Tead1	TEA domain family member 1	7		positive regulation of stem cell population maintenance			IGI	MGI:109241 	J:160813 	
MGI:109241	Tead3	TEA domain family member 3	17		positive regulation of stem cell population maintenance			IGI	MGI:101876 	J:160813 	
MGI:109241	Tead3	TEA domain family member 3	17		positive regulation of stem cell population maintenance			IGI	MGI:106907 	J:160813 	
MGI:106907	Tead4	TEA domain family member 4	6		positive regulation of stem cell population maintenance			IGI	MGI:101876 	J:160813 	
MGI:106907	Tead4	TEA domain family member 4	6		positive regulation of stem cell population maintenance			IGI	MGI:109241 	J:160813 	
MGI:1098693	Tet1	tet methylcytosine dioxygenase 1	10		negative regulation of stem cell population maintenance			NAS		J:243422 	
MGI:1098693	Tet1	tet methylcytosine dioxygenase 1	10		positive regulation of stem cell population maintenance			NAS		J:243422 	
MGI:1098693	Tet1	tet methylcytosine dioxygenase 1	10		stem cell population maintenance			IMP		J:148409 	
MGI:106032	Tfap2c	transcription factor AP-2, gamma	2		germ-line stem cell population maintenance			IMP	MGI:2176695 	J:156642 	
MGI:106032	Tfap2c	transcription factor AP-2, gamma	2		somatic stem cell population maintenance	happens in trophectoderm		IMP	MGI:3040993 	J:162675 	
MGI:106032	Tfap2c	transcription factor AP-2, gamma	2		stem cell population maintenance			IDA		J:160495 	
MGI:106032	Tfap2c	transcription factor AP-2, gamma	2		stem cell population maintenance			IMP		J:160495 	
MGI:104890	Tpt1	tumor protein, translationally-controlled 1	14		stem cell population maintenance			IMP		J:170271 	
MGI:1933302	Trim8	tripartite motif-containing 8	19		stem cell population maintenance			IMP		J:177748 	
MGI:1330810	Trp63	transformation related protein 63	16		positive regulation of somatic stem cell population maintenance			IMP		J:220326 	
MGI:1095406	Tuba3a	tubulin, alpha 3A	6		male germ-line stem cell population maintenance			IMP	MGI:1095408 	J:308859 	
MGI:1095408	Tuba3b	tubulin, alpha 3B	6		male germ-line stem cell population maintenance			IGI	MGI:1095406 	J:308859 	
MGI:2445126	Tut4	terminal uridylyl transferase 4	4		stem cell population maintenance			ISO	Q5TAX3 	J:164563 	
MGI:2445126	Tut4	terminal uridylyl transferase 4	4		stem cell population maintenance			ISS	Q5TAX3 	J:342587 	
MGI:2135272	Vangl2	VANGL planar cell polarity 2	1		somatic stem cell population maintenance			IMP		J:149821 	
MGI:1202305	Vps72	vacuolar protein sorting 72	3		somatic stem cell population maintenance			IDA		J:150463 	
MGI:1919765	Wdr43	WD repeat domain 43	17		regulation of stem cell population maintenance			IMP		J:278445 	
MGI:2139593	Wdr47	WD repeat domain 47	3		neuronal stem cell population maintenance	happens in brain		IMP	MGI:6102912 	J:249035 	
MGI:1923696	Wdr62	WD repeat domain 62	7		neuronal stem cell population maintenance			ISO	Q5M9F2 	J:73065 	
MGI:98961	Wnt7a	wingless-type MMTV integration site family, member 7A	6		somatic stem cell population maintenance			IMP	MGI:1857704 	J:149821 	
MGI:1197020	Wnt9b	wingless-type MMTV integration site family, member 9B	11		mesenchymal stem cell maintenance involved in nephron morphogenesis	happens in metanephric mesenchyme		IMP	MGI:3526437 	J:171512 	
MGI:1197020	Wnt9b	wingless-type MMTV integration site family, member 9B	11		negative regulation of stem cell population maintenance			IEA	ENSP00000290015 O14905 	J:342605 	
MGI:1197020	Wnt9b	wingless-type MMTV integration site family, member 9B	11		negative regulation of stem cell population maintenance			ISO	O14905 	J:164563 	
MGI:103262	Yap1	yes-associated protein 1	9		positive regulation of stem cell population maintenance			IMP		J:160813 	
MGI:103262	Yap1	yes-associated protein 1	9		somatic stem cell population maintenance	happens in intestine epithelium		IDA		J:141457 	
MGI:1914552	Zc3h13	zinc finger CCCH type containing 13	14		regulation of stem cell population maintenance			IMP		J:261823 	
MGI:107945	Zfp36l2	zinc finger protein 36, C3H type-like 2	17		somatic stem cell population maintenance			IMP		J:199080 	
MGI:2442566	Zfp322a	zinc finger protein 322A	13		positive regulation of stem cell population maintenance			IDA		J:255341 	
MGI:1915286	Zfp706	zinc finger protein 706	15		negative regulation of stem cell population maintenance			IMP		J:221548 	
MGI:2683087	Zhx2	zinc fingers and homeoboxes 2	15		somatic stem cell population maintenance	happens in cerebral cortex		IDA		J:149817 	
MGI:106676	Zic3	zinc finger protein of the cerebellum 3	X		germ-line stem cell population maintenance			IMP		J:295412 	
MGI:106676	Zic3	zinc finger protein of the cerebellum 3	X		stem cell population maintenance			IMP		J:124021 	

